method,num_points,HV,MIP,ref_point_safety,ref_point_help,norm_min_safety,norm_min_help,norm_max_safety,norm_max_help
EPEC_GenARM,6,270.6861053184152,0.7721659723886023,-17.87734375,-3.443603515625,-16.87734375,-2.443603515625,13.184609375,10.841484375
EPEC_PARM,6,256.5355661155343,0.7975094272147892,-17.87734375,-3.443603515625,-16.87734375,-2.443603515625,13.184609375,10.841484375
GenARM,10,155.33715462205652,0.5508672041548405,-17.87734375,-3.443603515625,-16.87734375,-2.443603515625,13.184609375,10.841484375
PARM,11,146.44387190829514,0.54806416794199,-17.87734375,-3.443603515625,-16.87734375,-2.443603515625,13.184609375,10.841484375
